valasa,kaarmi,andolana,poli,svastha,road,dharna,kooli,nirasana,vyaktham,asanthrupthi,baitayi,vethanalu,vetha,baadha,url,status
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.eenadu.net/archivespage/districtnewsdetails/120058255/528/n/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058252/528/n/1-05-2020,success
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058249/528/n/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058246/528/n/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075863/528/d/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.eenadu.net/archivespage/districtnewsdetails/220075853/528/d/1-05-2020,success
1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,https://www.eenadu.net/archivespage/districtnewsdetails/220075850/528/d/1-05-2020,success
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075835/528/d/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075834/528/d/1-05-2020,success
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075829/528/d/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075826/528/d/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075820/528/d/1-05-2020,success
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075819/528/d/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075813/528/d/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075810/528/d/1-05-2020,success
4,0,1,3,1,0,0,5,0,1,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075807/528/d/1-05-2020,success
0,0,1,3,0,0,0,0,5,1,0,0,3,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075802/528/d/1-05-2020,success
3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058555/529/n/1-05-2020,success
3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058555/529/n/1-05-2020,success
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058551/529/n/1-05-2020,success
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058547/529/n/1-05-2020,success
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058547/529/n/1-05-2020,success
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058543/529/n/1-05-2020,success
2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058542/529/n/1-05-2020,success
2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058542/529/n/1-05-2020,success
3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058537/529/n/1-05-2020,success
3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058537/529/n/1-05-2020,success
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058520/529/n/1-05-2020,success
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058500/529/n/1-05-2020,success
