valasa,kaarmi,andolana,poli,svastha,road,dharna,kooli,nirasana,vyaktham,asanthrupthi,baitayi,vethanalu,vetha,baadha,url,status
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075941/1-05-2020/ts,success
1,1,0,0,0,0,0,5,0,0,0,0,0,0,1,https://www.eenadu.net/archivespage/archivenewsdetails/220075939/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075937/1-05-2020/ts,success
0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075935/1-05-2020/ts,success
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075933/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075931/1-05-2020/ts,success
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075930/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075929/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075928/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.eenadu.net/archivespage/archivenewsdetails/220075927/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.eenadu.net/archivespage/archivenewsdetails/220075926/1-05-2020/ts,success
0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075925/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075923/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075922/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075921/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075919/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.eenadu.net/archivespage/archivenewsdetails/220075918/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075917/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075916/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075915/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075914/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075912/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075874/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075861/1-05-2020/ts,success
0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,https://www.eenadu.net/archivespage/archivenewsdetails/220075860/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075858/1-05-2020/ts,success
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075857/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075855/1-05-2020/ts,success
0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075852/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075849/1-05-2020/ts,success
