Category,Headline,Link,Date,Month,Year
National,Ambulance workers in U.P. threaten to halt work,https://www.thehindu.com/todays-paper/tp-national/ambulance-workers-in-up-threaten-to-halt-work/article31222819.ece,1,04,2020
National,250 RS MPs to contribute from MPLADS fund to fight COVID 19,https://www.thehindu.com/todays-paper/tp-national/250-rs-mps-to-contribute-from-mplads-fund-to-fight-covid-19/article31222818.ece,1,04,2020
National,mumbai,https://www.thehindu.com/todays-paper/tp-national/mumbai/article31222802.ece,1,04,2020
National,srinagar,https://www.thehindu.com/todays-paper/tp-national/srinagar/article31222804.ece,1,04,2020
National,bikaner,https://www.thehindu.com/todays-paper/tp-national/bikaner/article31222806.ece,1,04,2020
National,jaipur,https://www.thehindu.com/todays-paper/tp-national/jaipur/article31222808.ece,1,04,2020
Tamil Nadu,‘Landlords should desist from collecting rent’,https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/landlords-should-desist-from-collecting-rent/article31223324.ece,1,04,2020
Karnataka,"Man, son drowned in village well near Gokak",https://www.thehindu.com/todays-paper/tp-national/tp-karnataka/man-son-drowned-in-village-well-near-gokak/article31223091.ece,1,04,2020
Karnataka,"Belagavi has nearly 1,000 migrant workers in camps",https://www.thehindu.com/todays-paper/tp-national/tp-karnataka/belagavi-has-nearly-1000-migrant-workers-in-camps/article31223093.ece,1,04,2020
Kerala,Control room set up at Alappuzha Collectorate,https://www.thehindu.com/todays-paper/tp-national/tp-kerala/control-room-set-up-at-alappuzha-collectorate/article31223234.ece,1,04,2020
Kerala,5 held for illicit brewing of liquor,https://www.thehindu.com/todays-paper/tp-national/tp-kerala/5-held-for-illicit-brewing-of-liquor/article31223235.ece,1,04,2020
Andhra Pradesh,Two test positive in Anantapur district,https://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/two-test-positive-in-anantapur-district/article31223342.ece,1,04,2020
Andhra Pradesh,Sathya Sai Trust to provide medical kits,https://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/sathya-sai-trust-to-provide-medical-kits/article31223343.ece,1,04,2020
Telangana,Jail inmates manufacture sanitiser,https://www.thehindu.com/todays-paper/tp-national/tp-telangana/jail-inmates-manufacture-sanitiser/article31223151.ece,1,04,2020
Telangana,32 Jamaat returnees intercepted,https://www.thehindu.com/todays-paper/tp-national/tp-telangana/32-jamaat-returnees-intercepted/article31223135.ece,1,04,2020
Mumbai,"Now, flying squads to trace contacts",https://www.thehindu.com/todays-paper/tp-national/tp-mumbai/now-flying-squads-to-trace-contacts/article31223293.ece,1,04,2020
Mumbai,Police chief reaches out to citizens through Twitter,https://www.thehindu.com/todays-paper/tp-national/tp-mumbai/police-chief-reaches-out-to-citizens-through-twitter/article31223289.ece,1,04,2020
Mumbai,"Bimbisar Nagar, Dahisar slum in lockdown after five test positive",https://www.thehindu.com/todays-paper/tp-national/tp-mumbai/bimbisar-nagar-dahisar-slum-in-lockdown-after-five-test-positive/article31223285.ece,1,04,2020
Mumbai,IIT professors modify app to monitor people,https://www.thehindu.com/todays-paper/tp-national/tp-mumbai/iit-professors-modify-app-to-monitor-people/article31223286.ece,1,04,2020
Mumbai,"Face masks, sanitisers seized in two raids",https://www.thehindu.com/todays-paper/tp-national/tp-mumbai/face-masks-sanitisers-seized-in-two-raids/article31223287.ece,1,04,2020
Mumbai,GRP constable tests positive; Palghar records first death,https://www.thehindu.com/todays-paper/tp-national/tp-mumbai/grp-constable-tests-positive-palghar-records-first-death/article31223291.ece,1,04,2020
Other States,32 intercepted on Telangana border,https://www.thehindu.com/todays-paper/tp-national/tp-otherstates/32-intercepted-on-telangana-border/article31223303.ece,1,04,2020
International,Spain reports record 849 deaths in a day,https://www.thehindu.com/todays-paper/tp-international/spain-reports-record-849-deaths-in-a-day/article31222775.ece,1,04,2020
International,Harry and Meghan formally bid farewell to royal life,https://www.thehindu.com/todays-paper/tp-international/harry-and-meghan-formally-bid-farewell-to-royal-life/article31222762.ece,1,04,2020
International,"U.S. death toll crosses 3,500",https://www.thehindu.com/todays-paper/tp-international/us-death-toll-crosses-3500/article31222779.ece,1,04,2020
International,"U.S. outlines plan for transition in Venezuela, sanctions relief",https://www.thehindu.com/todays-paper/tp-international/us-outlines-plan-for-transition-in-venezuela-sanctions-relief/article31222780.ece,1,04,2020
International,"China chases Indonesia’s fishing fleets, staking claim to sea’s riches",https://www.thehindu.com/todays-paper/tp-international/china-chases-indonesias-fishing-fleets-staking-claim-to-seas-riches/article31222782.ece,1,04,2020
International,"Iran reports 141 deaths, raising total to 2,898",https://www.thehindu.com/todays-paper/tp-international/iran-reports-141-deaths-raising-total-to-2898/article31222768.ece,1,04,2020
International,Study shows middle-age COVID-19 mortality risk,https://www.thehindu.com/todays-paper/tp-international/study-shows-middle-age-covid-19-mortality-risk/article31222776.ece,1,04,2020
International,Taliban team in Kabul to monitor prisoner release,https://www.thehindu.com/todays-paper/tp-international/taliban-team-in-kabul-to-monitor-prisoner-release/article31222777.ece,1,04,2020
International,Myanmar scribe hit with terror charges,https://www.thehindu.com/todays-paper/tp-international/myanmar-scribe-hit-with-terror-charges/article31222769.ece,1,04,2020
International,Indonesia declares state of emergency,https://www.thehindu.com/todays-paper/tp-international/indonesia-declares-state-of-emergency/article31222767.ece,1,04,2020
International,Doctor who met Putin tests positive,https://www.thehindu.com/todays-paper/tp-international/doctor-who-met-putin-tests-positive/article31222771.ece,1,04,2020
International,12-year-old dies in Belgium,https://www.thehindu.com/todays-paper/tp-international/12-year-old-dies-in-belgium/article31222763.ece,1,04,2020
International,China state media reports 19 people killed in forest fire,https://www.thehindu.com/todays-paper/tp-international/china-state-media-reports-19-people-killed-in-forest-fire/article31222766.ece,1,04,2020
International,"Stockholm, March 31, 2020 (AFP) -",https://www.thehindu.com/todays-paper/tp-international/stockholm-march-31-2020-afp/article31222770.ece,1,04,2020
Opinion,An eye each on containment and welfare,https://www.thehindu.com/todays-paper/tp-opinion/an-eye-each-on-containment-and-welfare/article31222747.ece,1,04,2020
Opinion,A pandemic in an unequal India,https://www.thehindu.com/todays-paper/tp-opinion/a-pandemic-in-an-unequal-india/article31222753.ece,1,04,2020
Opinion,Beyond social distancing to fight COVID-19,https://www.thehindu.com/todays-paper/tp-opinion/beyond-social-distancing-to-fight-covid-19/article31222749.ece,1,04,2020
Opinion,The cost of a cure for COVID-19,https://www.thehindu.com/todays-paper/tp-opinion/the-cost-of-a-cure-for-covid-19/article31222759.ece,1,04,2020
