Category,Headline,Link
thiruvananthapuram,"ആറ്റിങ്ങൽ നഗരസഭയിൽ സുഭിക്ഷ കേരളം പദ്ധതിക്ക് തുടക്കം
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871468
thiruvananthapuram,"കാര്‍ഷിക വെല്ലുവിളി ഏറ്റെടുത്ത് കെഎസ്ടിഎ
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871465
thiruvananthapuram,"ഒന്നരലക്ഷത്തിന്റെ വാറ്റ്‌ പിടികൂടി
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871464
thiruvananthapuram,"ടെറസിലെ ‘പൊന്നി’ പൊന്നണിഞ്ഞു
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871340
thiruvananthapuram,"ദോഹയിൽ നിന്നെത്തിയ 81 പേർ സർക്കാർ നിരീക്ഷണകേന്ദ്രത്തിൽ
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871337
thiruvananthapuram,"രചന അധ്യാപിക, ആവിഷ്‌കാരം വിദ്യാർഥിനി, സമർപ്പണം മുഖ്യമന്ത്രിക്ക്‌
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871334
thiruvananthapuram,"ഫ്ലോട്ടിങ്‌‌ റെസ്റ്റോറന്റ്‌ : അന്വേഷണം നടത്തുമെന്ന്‌ കെടിഡിസി എംഡി
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871332
thiruvananthapuram,"ന്യൂഡൽഹിയിൽനിന്ന്‌ പ്രത്യേക ട്രെയിൻ നാളെ
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871330
thiruvananthapuram,"തലസ്ഥാനത്തേക്ക്‌ 5 വിമാനങ്ങൾകൂടി
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871328
thiruvananthapuram,"സിഐടിയു അവകാശ ദിനാചരണം ഇന്ന്‌
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871326
thiruvananthapuram,"474 പേർകൂടി നിരീക്ഷണത്തിൽ
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871325
thiruvananthapuram,"സാന്ത്വന സ്പർശവുമായി കെജിഎൻഎ
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871324
thiruvananthapuram,"കലാകാരന്മാർക്ക് ഹൃദയരാഗത്തിന്റെ കൈത്താങ്ങ്
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871323
thiruvananthapuram,"നഗരസഭ മുഖമറ നിർമിച്ചു
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871322
thiruvananthapuram,"ഓടകൾ ശുചീകരിക്കും
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871320
thiruvananthapuram,"മോഷണം നടന്ന കടയ്ക്ക്‌ സഹായഹസ്തവുമായി വ്യാപാരി സമിതി
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871319
thiruvananthapuram,"വർഗീയസംഘർഷത്തിന്‌ ശ്രമം; പ്രതി പിടിയിൽ
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871318
thiruvananthapuram,"പ്ലസ്ടു വിദ്യാര്‍ഥിനി സമ്പാദ്യം നൽകി
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871317
